"","metabolite_name","metabolite_id","refmet_name"
"ME104496","4-Oxocyclohexanecarboxylate_5","ME104496",""
"ME104497","4-Oxocyclohexanecarboxylate_6","ME104497",""
"ME104498","4-Oxoproline_1","ME104498","4-Oxo-proline"
"ME104499","4-Oxoproline_2","ME104499","4-Oxo-proline"
"ME104500","4-Propylphenol_1","ME104500","4-Propylphenol"
"ME104501","4-Propylphenol_2","ME104501","4-Propylphenol"
"ME104502","4-Pyridoxate_1","ME104502","4-Pyridoxic acid"
"ME104503","4-Pyridoxate_2","ME104503","4-Pyridoxic acid"
"ME104504","4-Pyridoxate_3","ME104504","4-Pyridoxic acid"
"ME104505","4-Pyridoxolactone_1","ME104505","4-Pyridoxolactone"
"ME104506","4-Pyridoxolactone_2","ME104506","4-Pyridoxolactone"
"ME104507","4-Pyridoxolactone_3","ME104507","4-Pyridoxolactone"
"ME104508","4-Vinylcyclohexene_1","ME104508",""
"ME104509","4-Vinylcyclohexene_2","ME104509",""
"ME104146","(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid ethyl ester","ME104146",""
"ME104510","5-(2-Hydroxyethyl)-4-methylthiazole","ME104510","5-(2-Hydroxyethyl)-4-methylthiazole"
"ME104511","5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate","ME104511",""
"ME104512","5-(3-Hydroxy-4-acetoxybut-1-ynyl)-2,2'-bithiophene","ME104512",""
"ME104514","5,6-Dihydrothymine_1","ME104514","Dihydrothymine"
"ME104515","5,6-Dihydrothymine_2","ME104515","Dihydrothymine"
"ME104516","5,6-Dihydrothymine_3","ME104516","Dihydrothymine"
"ME104517","5,6-DIHYDROURACIL","ME104517","Dihydrouracil"
"ME104518","5a,11a-Dehydrochlortetracycline","ME104518",""
"ME104519","5-Acetamidopentanoate_1","ME104519","5-Acetamidovaleric acid"
"ME104520","5-Acetamidopentanoate_2","ME104520","5-Acetamidovaleric acid"
"ME104521","5-Acetylamino-6-amino-3-methyluracil_1","ME104521","5-Acetylamino-6-amino-3-methyluracil"
"ME104522","5-Acetylamino-6-amino-3-methyluracil_2","ME104522","5-Acetylamino-6-amino-3-methyluracil"
"ME104523","5-Acetylamino-6-amino-3-methyluracil_3","ME104523","5-Acetylamino-6-amino-3-methyluracil"
"ME104524","5-Acetylamino-6-amino-3-methyluracil_4","ME104524","5-Acetylamino-6-amino-3-methyluracil"
"ME104525","5-Acetylamino-6-formylamino-3-methyluracil","ME104525","5-Acetylamino-6-formylamino-3-methyluracil"
"ME104513","5-(alpha-Phenylethyl)semioxamazide","ME104513",""
"ME104527","5-Amino-4-imidazolecarboxyamide_1","ME104527","5-Aminoimidazole-4-carboxamide"
"ME104528","5-Amino-4-imidazolecarboxyamide_2","ME104528","5-Aminoimidazole-4-carboxamide"
"ME104526","5-Amino-4-imidazole carboxylate","ME104526",""
"ME104529","5-Amino-6-(5'-phosphoribosylamino)uracil","ME104529",""
"ME104530","5-Aminolevulinate_1","ME104530","5-Amino-levulinic acid"
"ME104531","5-Aminolevulinate_2","ME104531","5-Amino-levulinic acid"
"ME104532","5-Aminolevulinate_3","ME104532","5-Amino-levulinic acid"
"ME104533","5-AMINOLEVULINIC ACID","ME104533","5-Amino-levulinic acid"
"ME104534","5-Aminopentanamide","ME104534","5-Aminopentanamide"
"ME104535","5-Carboxy-2-oxohept-3-enedioate","ME104535","5-Carboxy-2-oxohept-3-enedioate"
"ME104536","5'-Deoxy-5-fluorocytidine_1","ME104536",""
"ME104537","5'-Deoxy-5-fluorocytidine_2","ME104537",""
"ME104538","5'-DEOXYADENOSINE","ME104538","5'-Deoxyadenosine"
"ME104539","5-exo-Hydroxy-1,2-campholide","ME104539","5-exo-Hydroxy-1,2-campholide"
"ME104540","5-Guanidino-2-oxopentanoate","ME104540","2-Oxoarginine"
"ME104541","5-Guanidino-3-methyl-2-oxopentanoate","ME104541",""
"ME104542","5-Hydroxyindoleacetate_1","ME104542","5-Hydroxyindoleacetic acid"
"ME104543","5-Hydroxyindoleacetate_2","ME104543","5-Hydroxyindoleacetic acid"
"ME104544","5-Hydroxyindolepyruvate","ME104544","5-Hydroxyindolepyruvate"
"ME104545","5-Hydroxyisourate","ME104545","5-Hydroxyisouric acid"
"ME104546","5-Hydroxy-L-tryptophan_1","ME104546","5-Hydroxy-tryptophan"
"ME104547","5-Hydroxy-L-tryptophan_2","ME104547","5-Hydroxy-tryptophan"
"ME104548","5-Hydroxy-L-tryptophan_3","ME104548","5-Hydroxy-tryptophan"
"ME104549","5-Hydroxymethyluracil","ME104549","5-Hydroxymethyluracil"
"ME104550","5-Hydroxypentanoate_1","ME104550","5-Hydroxyvaleric acid"
"ME104551","5-Hydroxypentanoate_2","ME104551","5-Hydroxyvaleric acid"
"ME104552","5-L-Glutamyl-taurine","ME104552","5-L-Glutamyl-taurine"
"ME104553","5-Methyl-2'-deoxycytidine","ME104553","5-Methyl-2'-deoxycytidine"
"ME104554","5-Methylcytosine_1","ME104554","5-Methylcytosine"
"ME104555","5-Methylcytosine_2","ME104555","5-Methylcytosine"
"ME104556","5-METHYLCYTOSINE HYDROCLORIDE","ME104556","5-Methylcytosine"
"ME104557","5-Methyldeoxycytidine diphosphate","ME104557",""
"ME104558","5'-Methylthioadenosine","ME104558","5'-Methylthioadenosine"
"ME104559","5-Methylthio-D-ribose","ME104559","5-Methylthioribose"
"ME104560","5-Nitro-ortho-anisidine_1","ME104560","2-Methoxy-5-nitroaniline"
"ME104561","5-Nitro-ortho-anisidine_2","ME104561","2-Methoxy-5-nitroaniline"
"ME104562","5-Nitro-ortho-anisidine_3","ME104562","2-Methoxy-5-nitroaniline"
"ME104563","5-Nitro-ortho-anisidine_4","ME104563","2-Methoxy-5-nitroaniline"
"ME104564","5-Nitro-ortho-anisidine_5","ME104564","2-Methoxy-5-nitroaniline"
"ME104565","5'-O-beta-D-Glucosylpyridoxine","ME104565",""
"ME104566","5-Oxo-1,2-campholide","ME104566","5-Oxo-1,2-campholide"
"ME104567","5-OXO-L-PROLINE","ME104567","Pyroglutamic acid"
"ME104568","5-Sulfosalicylate_1","ME104568","5-Sulfosalicylic acid"
"ME104569","5-Sulfosalicylate_2","ME104569","5-Sulfosalicylic acid"
"ME104136","(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol","ME104136",""
"ME104570","5-Valerolactone_1","ME104570","5-Valerolactone"
"ME104571","5-Valerolactone_2","ME104571","5-Valerolactone"
"ME104572","6-Acetamido-3-oxohexanoate","ME104572",""
"ME104573","6-Acetophenazine-1-carboxylic acid","ME104573","1-Phenazinecarboxylic acid, 6-acetyl-"
"ME104574","6alpha-Hydroxycortisol","ME104574",""
"ME104575","6beta-Hydroxy-17beta-estradiol","ME104575","6beta-Hydroxyestradiol-17beta"
"ME104576","6beta-Hydroxy-D-homo-17a-oxaandrost-4-ene-3,17-dione","ME104576",""
"ME104577","6-Carboxy-5,6,7,8-tetrahydropterin","ME104577",""
"ME104578","6-Demethylsterigmatocystin","ME104578","6-Demethylsterigmatocystin"
"ME104579","6-Deoxyjacareubin","ME104579","6-Deoxyjacareubin"
"ME104580","6-endo-Hydroxycineole_1","ME104580","6-endo-Hydroxycineole"
"ME104581","6-endo-Hydroxycineole_2","ME104581","6-endo-Hydroxycineole"
"ME104582","6-Hydroxyindolelactate","ME104582",""
"ME104583","6-Hydroxypseudooxynicotine_1","ME104583","6-Hydroxypseudooxynicotine"
"ME104584","6-Hydroxypseudooxynicotine_2","ME104584","6-Hydroxypseudooxynicotine"
"ME104585","6-Methoxymellein_1","ME104585",""
"ME104586","6-Methoxymellein_2","ME104586",""
"ME104587","6-Methoxytaxifolin","ME104587","6-Methoxytaxifolin"
"ME104588","6-Oxocineole_1","ME104588","6-Oxocineole"
"ME104589","6-Oxocineole_2","ME104589","6-Oxocineole"
"ME104147","(6S,9R)-Vomifoliol_1","ME104147","(6S,9R)-Vomifoliol"
"ME104148","(6S,9R)-Vomifoliol_2","ME104148","(6S,9R)-Vomifoliol"
"ME104149","(6Z,9Z,12Z)-Octadecatrienoic acid","ME104149","gamma-Linolenic acid"
"ME104590","7-Aminocephalosporanic acid","ME104590","7-Aminocephalosporanic acid"
"ME104591","7-Aminomethyl-7-carbaguanine","ME104591","7-Aminomethyl-7-carbaguanine"
"ME104592","7-Deoxyloganetin","ME104592",""
"ME104593","7-Ethoxycoumarin","ME104593","7-Ethoxycoumarin"
"ME104594","7-Hydroxy-3-(4-methoxyphenyl)-4-propyl-2H-1-benzopyran-2-one","ME104594",""
"ME104595","7-Hydroxymethyl-12-methylbenz[a]anthracene sulfate","ME104595",""
"ME104596","7-Mercaptoheptanoylthreonine","ME104596",""
"ME104597","7-Methyluric acid_1","ME104597","7-Methyluric acid"
"ME104598","7-Methyluric acid_2","ME104598","7-Methyluric acid"
"ME104599","7-Methylxanthine","ME104599","7-Methylxanthine"
"ME104600","7-Methylxanthosine","ME104600","7-Methylxanthosine"
"ME104150","(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate","ME104150",""
"ME104601","8-(3,3-Dimethylallyl)spatheliachromene","ME104601",""
"ME104602","8-Amino-7-oxononanoate_1","ME104602","8-Amino-7-oxononanoic acid"
"ME104603","8-Amino-7-oxononanoate_2","ME104603","8-Amino-7-oxononanoic acid"
"ME104604","8-Amino-7-oxononanoate_3","ME104604","8-Amino-7-oxononanoic acid"
"ME104605","8-Amino-7-oxononanoate_4","ME104605","8-Amino-7-oxononanoic acid"
"ME104606","8-Amino-7-oxononanoate_5","ME104606","8-Amino-7-oxononanoic acid"
"ME104607","8-Amino-7-oxononanoate_6","ME104607","8-Amino-7-oxononanoic acid"
"ME104608","8-Oxoguanine","ME104608","8-Hydroxyguanine"
"ME104609","9,12,13-TriHOME","ME104609","9,12,13-TriHOME"
"ME104610","9-Methylthiononanaldoxime","ME104610","9-Methylthiononanaldoxime"
"ME104611","9-Oxononanoic acid_1","ME104611","9-Oxo-nonanoic acid"
"ME104612","9-Oxononanoic acid_2","ME104612","9-Oxo-nonanoic acid"
"ME104155","(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic acid_1","ME104155","8R-HODE"
"ME104156","(9Z,12Z)-(8R)-Hydroxyoctadeca-9,12-dienoic acid_2","ME104156","8R-HODE"
"ME104151","(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoic acid_1","ME104151",""
"ME104152","(9Z)-(13S)-12,13-Epoxyoctadeca-9,11-dienoic acid_2","ME104152",""
"ME104153","(9Z)-(7S,8S)-Dihydroxyoctadecenoic acid_1","ME104153","(9Z)-(7S,8S)-Dihydroxyoctadecenoic acid"
"ME104154","(9Z)-(7S,8S)-Dihydroxyoctadecenoic acid_2","ME104154","(9Z)-(7S,8S)-Dihydroxyoctadecenoic acid"
"ME104613","Abacavir","ME104613","Abacavir"
"ME104614","Abscisate","ME104614","Abscisic acid"
"ME104615","Acadesine","ME104615","AICAR"
"ME104616","Acanthicifoline","ME104616","Acanthicifoline"
"ME104617","Acetone cyanohydrin_1","ME104617","2-Hydroxy-2-methylpropanenitrile"
"ME104618","Acetone cyanohydrin_2","ME104618","2-Hydroxy-2-methylpropanenitrile"
"ME104619","Acetyl adenylate","ME104619","Acetyl adenylate"
"ME104620","Acetylagmatine","ME104620","Acetylagmatine"
"ME104621","Acetylcysteine_1","ME104621","N-Acetylcysteine"
"ME104622","Acetylcysteine_2","ME104622","N-Acetylcysteine"
"ME104623","Acetylcysteine_3","ME104623","N-Acetylcysteine"
"ME104624","Acetyltropine","ME104624","O-Acetyltropine"
"ME104625","Acronycidine","ME104625","Acronycidine"
"ME104626","Acrylamide","ME104626","Acrylamide"
"ME104627","Actinidine","ME104627","Actinidine"
"ME104628","Acutumidine","ME104628","Acutumidine"
"ME104629","Acyclovir","ME104629","Aciclovir"
"ME104630","Adenine","ME104630","Adenine"
"ME104631","ADENINE","ME104631","Adenine"
"ME104632","Adenosine","ME104632","Adenosine"
"ME104633","Aethusin","ME104633",""
"ME104634","Agaritine","ME104634",""
"ME104635","Agnuside","ME104635",""
"ME104636","Alantolactone_1","ME104636","Alantolactone"
"ME104637","Alantolactone_2","ME104637","Alantolactone"
"ME104638","Aldicarb_1","ME104638","Aldicarb"
"ME104639","Aldicarb_2","ME104639","Aldicarb"
"ME104640","Allidochlor_1","ME104640",""
"ME104641","Allidochlor_2","ME104641",""
"ME104642","Allylestrenol_1","ME104642","Allylestrenol"
"ME104643","Allylestrenol_2","ME104643","Allylestrenol"
"ME104644","alpha-[3-(Nitrosoamino)propyl]-3-pyridinemethanol","ME104644",""
"ME104645","ALPHA-AMINOADIPATE","ME104645","Aminoadipic acid"
"ME104646","alpha-Curcumene_1","ME104646",""
"ME104647","alpha-Curcumene_2","ME104647",""
"ME104648","alpha-Fluoro-beta-ureidopropionic acid","ME104648",""
"ME104649","ALPHA-HYDROXYISOBUTYRIC ACID","ME104649","2-Hydroxyisobutyric acid"
"ME104650","alpha-Ionone_1","ME104650","alpha-Ionone"
"ME104651","alpha-Ionone_2","ME104651","alpha-Ionone"
"ME104652","alpha-Irone_1","ME104652","alpha-Irone"
"ME104653","alpha-Irone_2","ME104653","alpha-Irone"
"ME104654","alpha-N-Acetylneuraminyl-2,6-beta-D-galactosyl-1,4-N-acetyl-beta-D-glucosamine","ME104654",""
"ME104655","alpha-Oxo-benzeneacetic acid_1","ME104655","Phenylglyoxylic acid"
"ME104656","alpha-Oxo-benzeneacetic acid_2","ME104656","Phenylglyoxylic acid"
"ME104657","alpha-Ribazole_1","ME104657","alpha-Ribazole"
"ME104658","alpha-Ribazole_2","ME104658","alpha-Ribazole"
"ME104659","alpha-Santonin","ME104659","alpha-Santonin"
"ME104660","alpha-Sinensal_1","ME104660","Sinensal"
"ME104661","alpha-Sinensal_2","ME104661","Sinensal"
"ME104662","alpha-Sinensal_3","ME104662","Sinensal"
"ME104663","alpha-Sinensal_4","ME104663","Sinensal"
"ME104664","Amabiline_1","ME104664","Amabiline"
"ME104665","Amabiline_2","ME104665","Amabiline"
"ME104666","AMCC","ME104666","N-Acetyl-S-(n-methylcarbamoyl)cysteine"
"ME104667","Aminopyrine","ME104667","Aminophenazone"
"ME104668","Amoxicillin","ME104668","Amoxicillin"
"ME104669","AMPA","ME104669","Ampa"
"ME104670","Amphetamine","ME104670","Dextroamphetamine"
"ME104671","Anastrozole","ME104671","Anastrozole"
"ME104672","Ancymidol","ME104672","Ancymidol"
"ME104673","Androsterone","ME104673","Androsterone"
"ME104674","Angelicin","ME104674","Angelicin"
"ME104675","Aniline","ME104675","Aniline"
"ME104676","Aniracetam","ME104676","Aniracetam"
"ME104677","Ankorine","ME104677","Ankorine"
"ME104678","Annuloline","ME104678","Annuloline"
"ME104679","Anthopleurine","ME104679",""
"ME104680","Anthranilate","ME104680","2-Aminobenzoic acid"
"ME104681","Apigenin","ME104681","Apigenin"
"ME104682","Apigenin 7,4'-dimethyl ether","ME104682","7,4'-Di-O-methylapigenin"
"ME104683","Apiole_1","ME104683","Apiole"
"ME104684","Apiole_2","ME104684","Apiole"
"ME104685","Apiole_3","ME104685","Apiole"
"ME104686","Apiole_4","ME104686","Apiole"
"ME104687","Apraclonidine","ME104687","Apraclonidine"
"ME104688","Aprobarbital","ME104688","Aprobarbital"
"ME104689","Arbutin","ME104689","Arbutin"
"ME104690","Archangelicin","ME104690","Archangelicin"
"ME104691","Arg-OEt","ME104691","Ethyl arginate"
"ME104692","Aristolochic acid","ME104692","Aristolochic acid"
"ME104693","Aromatic aldehyde_1","ME104693","Benzaldehyde"
"ME104694","Aromatic aldehyde_2","ME104694","Benzaldehyde"
"ME104695","Ascorbate","ME104695","Vitamin C"
"ME104696","Asparagusate","ME104696","Asparagusic acid"
"ME104697","Aspartame","ME104697","Aspartame"
"ME104698","Aspidinol_1","ME104698","Aspidinol"
"ME104699","Aspidinol_2","ME104699","Aspidinol"
"ME104700","Aspulvinone E","ME104700","Aspulvinone E"
"ME104701","Asulam","ME104701",""
"ME104702","Atheroline","ME104702","Atheriline"
"ME104703","Atractylone","ME104703",""
"ME104704","Austrobailignan 1","ME104704","Austrobailignan 1"
"ME104705","Autumnolide","ME104705","Autumnolide"
"ME104706","Avizafone","ME104706","Avizafone"
"ME104707","Azelaic acid","ME104707","Azelaic acid"
"ME104708","Baicalin","ME104708","Baicalin"
"ME104709","Bakankoside","ME104709","Bakankoside"
"ME104710","Bakkenolide A_1","ME104710","Bakkenolide A"
"ME104711","Bakkenolide A_2","ME104711","Bakkenolide A"
"ME104712","Bakkenolide A_3","ME104712","Bakkenolide A"
"ME104713","Barbaloin","ME104713","Aloin"
"ME104714","Barbiturate","ME104714","Barbituric acid"
"ME104715","Bay-K-8644","ME104715",""
"ME104716","Bendiocarb_1","ME104716","Bendiocarb"
"ME104717","Bendiocarb_2","ME104717","Bendiocarb"
"ME104718","Bendiocarb_3","ME104718","Bendiocarb"
"ME104719","Benzamide","ME104719","Benzamide"
"ME104720","Benzene_1","ME104720","Benzene"
"ME104721","Benzene_2","ME104721","Benzene"
"ME104722","Benzo[a]pyrene-7,8-dihydrodiol-9,10-oxide","ME104722",""
"ME104725","Benzoate_1","ME104725","Benzoic acid"
"ME104726","Benzoate_2","ME104726","Benzoic acid"
"ME104723","Benzo[b]naphtho[2,1-d]thiophene_1","ME104723",""
"ME104724","Benzo[b]naphtho[2,1-d]thiophene_2","ME104724",""
"ME104727","Benzofuran_1","ME104727","Benzofuran"
"ME104728","Benzofuran_2","ME104728","Benzofuran"
"ME104729","Benzoin_1","ME104729","Benzoin"
"ME104730","Benzoin_2","ME104730","Benzoin"
"ME104731","Benzoyl isothiocyanate","ME104731",""
"ME104732","Benzyl (2R,3S)-2-methyl-3-hydroxybutanoate","ME104732",""
"ME104733","Benzyl alcohol_1","ME104733","Benzyl alcohol"
"ME104734","Benzyl alcohol_2","ME104734","Benzyl alcohol"
"ME104735","Bergaptol_1","ME104735","Bergaptol"
"ME104736","Bergaptol_2","ME104736","Bergaptol"
"ME104737","Bergaptol_3","ME104737","Bergaptol"
"ME104738","BETA-ALANINE","ME104738","beta-Alanine"
"ME104739","beta-Carboline_1","ME104739","beta-Carboline"
"ME104740","beta-Carboline_2","ME104740","beta-Carboline"
"ME104741","beta-Chloro-alpha-phenylbenzeneethanamine hydrochloride","ME104741",""
"ME104742","beta-Citryl-L-glutamate","ME104742","Beta-Citryl-glutamic acid"
"ME104743","beta-Cotonefuran","ME104743","beta-Cotonefuran"
"ME104744","Betagarin","ME104744","Betagarin"
"ME104745","BETAINE","ME104745","Betaine"
"ME104746","Biochanin A","ME104746","Biochanin A"
"ME104747","Biotin","ME104747","Biotin"
"ME104748","Biotin amide","ME104748","Biotin amide"
"ME104749","Biotin sulfone","ME104749","Biotin sulfone"
"ME104750","Biotin sulfoxide","ME104750","Biotin sulfoxide"
"ME104751","Biphenyl-2,3-diol","ME104751","Biphenyl-2,3-diol"
"ME104752","Bisphenol A dimethacrylate","ME104752",""
"ME104753","Bisphenol B","ME104753","Bisphenol B"
"ME104754","Bisthiosemi","ME104754",""
"ME104755","Boc-Asn_1","ME104755",""
"ME104756","Boc-Asn_2","ME104756",""
"ME104757","Boc-Asn_3","ME104757",""
"ME104758","Boc-Asn-OPhNO2","ME104758",""
"ME104128","(+)-Bornane-2,5-dione_1","ME104128","Bornane-2,5-dione"
"ME104129","(+)-Bornane-2,5-dione_2","ME104129","Bornane-2,5-dione"
"ME104759","Boschnialactone_1","ME104759","Boschnialactone"
"ME104760","Boschnialactone_2","ME104760","Boschnialactone"
"ME104761","Boschnialactone_3","ME104761","Boschnialactone"
"ME104762","Botrydial","ME104762","Botrydial"
"ME104763","Bowdichione","ME104763","Bowdichione"
"ME104764","Brugine","ME104764","Brugine"
"ME104765","Buddledin A_1","ME104765","Buddledin A"
"ME104766","Buddledin A_2","ME104766","Buddledin A"
"ME104767","Bufadienolide","ME104767",""
"ME104768","Bufferin","ME104768","Aspirin"
"ME104769","Bufotenine","ME104769","Bufotenin"
"ME104770","Buspirone_1","ME104770","Buspirone"
"ME104771","Buspirone_2","ME104771","Buspirone"
"ME104772","Butabarbital","ME104772","Butabarbital"
"ME104773","Butanal_1","ME104773","Butanal"
"ME104774","Butanal_2","ME104774","Butanal"
"ME104775","Butanoic acid_1","ME104775","Butyric acid"
"ME104776","Butanoic acid_2","ME104776","Butyric acid"
"ME104777","Butanoic acid_3","ME104777","Butyric acid"
"ME104778","Butanoylphosphate","ME104778",""
"ME104779","Butoctamide hydrogen succinate_1","ME104779","Listomin S"
"ME104780","Butoctamide hydrogen succinate_2","ME104780","Listomin S"
"ME104781","Butonate","ME104781",""
"ME104782","Butopyronoxyl","ME104782",""
"ME104783","Bz-Arg-OEt","ME104783","Bz-Arg-OEt"
"ME104784","C20915","ME104784",""
"ME104785","Cadaverine","ME104785","Cadaverine"
"ME104786","Caffeine","ME104786","Caffeine"
"ME104787","Cajanol","ME104787","Cajanol"
"ME104788","Calcium levulinate anhydrous","ME104788",""
"ME104789","Calystegin B2_1","ME104789","Calystegin B2"
"ME104790","Calystegin B2_2","ME104790","Calystegin B2"
"ME104791","Calystegin B2_3","ME104791","Calystegin B2"
"ME104130","(+)-Camphor_1","ME104130","Camphor"
"ME104131","(+)-Camphor_2","ME104131","Camphor"
"ME104792","Capillanol","ME104792",""
"ME104793","Capsi-amide","ME104793","Capsiamide"
"ME104794","Carbetamide","ME104794",""
"ME104795","Carisoprodol","ME104795","Carisoprodol"
"ME104796","Carpacin_1","ME104796","Carpacin"
"ME104797","Carpacin_2","ME104797","Carpacin"
"ME104113","(-)-Carvone","ME104113","Carvone"
"ME104798","Castanospermine_1","ME104798","Castanospermine"
"ME104799","Castanospermine_2","ME104799","Castanospermine"
"ME104800","Catechol","ME104800","Pyrocatechol"
"ME104801","CATECHOL","ME104801","Pyrocatechol"
"ME104802","CB3717","ME104802","10-Propargyl-5,8-dideazafolic acid"
"ME104803","CBS 113A","ME104803",""
"ME104804","Cefepime","ME104804","Cefepime"
"ME104805","Centarol","ME104805","Centarol"
"ME104806","Cerulenin_1","ME104806","Cerulenin"
"ME104807","Cerulenin_2","ME104807","Cerulenin"
"ME104808","Cetraxate","ME104808","Cetraxate"
"ME104809","Chlorfenac","ME104809",""
"ME104810","Chlorhexidine","ME104810","Chlorhexidine"
"ME104811","Chloridazon","ME104811",""
"ME104812","Chloromethiuron","ME104812",""
"ME104813","Chlorphenesin carbamate","ME104813","Chlorphenesin carbamate"
"ME104814","Chlortetracycline","ME104814","Chlortetracycline"
"ME104815","Cholesterol sulfate","ME104815","Cholesterol sulfate"
"ME104816","Choline phosphate","ME104816","Choline phosphate"
"ME104817","Chrysoeriol_1","ME104817","Chrysoeriol"
"ME104818","Chrysoeriol_2","ME104818","Chrysoeriol"
"ME104819","Cibarian","ME104819","Cibarian"
"ME104820","Cinnamaldehyde_1","ME104820","Cinnamaldehyde"
"ME104821","Cinnamaldehyde_2","ME104821","Cinnamaldehyde"
"ME104822","Cinncassiol B","ME104822",""
"ME104823","Cinncassiol E","ME104823",""
"ME104824","Cinoxacin","ME104824","Cinoxacin"
"ME104825","cis-1,2-Dihydro-3-ethylcatechol_1","ME104825","cis-1,2-Dihydro-3-ethylcatechol"
"ME104826","cis-1,2-Dihydro-3-ethylcatechol_2","ME104826","cis-1,2-Dihydro-3-ethylcatechol"
"ME104827","cis-1,2-Dihydro-3-ethylcatechol_3","ME104827","cis-1,2-Dihydro-3-ethylcatechol"
"ME104828","cis-1,2-Dihydro-3-ethylcatechol_4","ME104828","cis-1,2-Dihydro-3-ethylcatechol"
"ME104829","cis-1,2-Dihydronaphthalene-1,2-diol_1","ME104829","(1R,2S)-1,2-Dihydronaphthalene-1,2-diol"
"ME104830","cis-1,2-Dihydronaphthalene-1,2-diol_2","ME104830","(1R,2S)-1,2-Dihydronaphthalene-1,2-diol"
"ME104831","cis-1,2-Dihydronaphthalene-1,2-diol_3","ME104831","(1R,2S)-1,2-Dihydronaphthalene-1,2-diol"
"ME104832","cis-2,3-Dihydro-2,3-dihydroxybiphenyl_1","ME104832","(1S,2R)-3-Phenylcyclohexa-3,5-diene-1,2-diol"
"ME104833","cis-2,3-Dihydro-2,3-dihydroxybiphenyl_2","ME104833","(1S,2R)-3-Phenylcyclohexa-3,5-diene-1,2-diol"
"ME104834","cis-2,3-Dihydroxy-2,3-dihydro-p-cumate","ME104834",""
"ME104835","cis-2-Carboxycyclohexyl-acetic acid_1","ME104835","cis-2-Carboxycyclohexyl-acetic acid"
"ME104836","cis-2-Carboxycyclohexyl-acetic acid_2","ME104836","cis-2-Carboxycyclohexyl-acetic acid"
"ME104837","cis-2-Carboxycyclohexyl-acetic acid_3","ME104837","cis-2-Carboxycyclohexyl-acetic acid"
"ME104838","cis-3,4-Leucopelargonidin","ME104838",""
"ME104839","cis-4-Carboxymethylenebut-2-en-4-olide_1","ME104839","cis-4-Carboxymethylenebut-2-en-4-olide"
"ME104840","cis-4-Carboxymethylenebut-2-en-4-olide_2","ME104840","cis-4-Carboxymethylenebut-2-en-4-olide"
"ME104841","cis-4-Carboxymethylenebut-2-en-4-olide_3","ME104841","cis-4-Carboxymethylenebut-2-en-4-olide"
"ME104842","cis-Aconitate_1","ME104842","cis-Aconitic acid"
"ME104843","cis-Aconitate_2","ME104843","cis-Aconitic acid"
"ME104844","cis-Aconitate_3","ME104844","cis-Aconitic acid"
"ME104845","Citalopram propionic acid","ME104845","Citalopram propionic acid"
"ME104846","CITRAMALATE","ME104846","Citramalic acid"
"ME104847","CITRATE","ME104847","Citric acid"
"ME104848","Citrate_1","ME104848","Citric acid"
"ME104849","Citrate_2","ME104849","Citric acid"
"ME104850","Clavamycin D","ME104850",""
"ME104851","Clavamycin E","ME104851",""
"ME104852","Clavulanic acid","ME104852","Clavulanate"
"ME104853","Clitidine_1","ME104853",""
"ME104854","Clitidine_2","ME104854",""
"ME104855","Clopyralid","ME104855","Clopyralid"
"ME104856","Codeine-6-glucuronide","ME104856",""
"ME104857","Codonopsine","ME104857","Codonopsine"
"ME104858","Coenzyme B","ME104858","Coenzyme B"
"ME104859","Compactin diol lactone","ME104859","ML 236A"
"ME104860","Coniferyl alcohol_1","ME104860","Coniferyl alcohol"
"ME104861","Coniferyl alcohol_2","ME104861","Coniferyl alcohol"
"ME104862","Coniferyl alcohol_3","ME104862","Coniferyl alcohol"
"ME104863","Coniferyl alcohol_4","ME104863","Coniferyl alcohol"
"ME104864","Coproporphyrin I","ME104864","Coproporphyrin I"
"ME104865","Corticosterone_1","ME104865","Corticosterone"
"ME104866","Corticosterone_2","ME104866","Corticosterone"
"ME104867","Coumarin_1","ME104867","Coumarin"
"ME104868","Coumarin_2","ME104868","Coumarin"
"ME104869","Coumarin_3","ME104869","Coumarin"
"ME104870","Coumestrol","ME104870","Coumestrol"
"ME104871","CREATINE","ME104871","Creatine"
"ME104872","CREATININE_1","ME104872","Creatinine"
"ME104873","CREATININE_2","ME104873","Creatinine"
"ME104874","Crotanecine_1","ME104874","Crotanecine"
"ME104875","Crotanecine_2","ME104875","Crotanecine"
"ME104876","Crotanecine_3","ME104876","Crotanecine"
"ME104877","Cuauhtemone_1","ME104877","Cuauhtemone"
"ME104878","Cuauhtemone_2","ME104878","Cuauhtemone"
"ME104879","Cuauhtemone_3","ME104879","Cuauhtemone"
"ME104880","Cucurbic acid_1","ME104880","Cucurbic acid"
"ME104881","Cucurbic acid_2","ME104881","Cucurbic acid"
"ME104882","Cumene_1","ME104882","Isopropylbenzene"
"ME104883","Cumene_2","ME104883","Isopropylbenzene"
"ME104884","Cumene_3","ME104884","Isopropylbenzene"
"ME104885","Cumene_4","ME104885","Isopropylbenzene"
